question,code,difficulty,category
Define Exclusive breast feeding. Mention its advantages for infant and mother.(2+3),9-B,MEDIUM,SE
Enumerate the benefits breastfeeding to the child and mother. (2+3),9-B,MEDIUM,SE
List the anthropometric measurements uSEd in pre school children.State the nutritional probLEms of the SAme. (3+2),9-B,MEDIUM,SE
Describe the components of new born care.,9-B,MEDIUM,SE
Describe components of APGAR score in newborn care and mention the normal APGAR score.(3+2),9-B,LOW,SE
List the criteria for HIGH risk infants and discuss the management .(3+2),9-B,LOW,SE
Define a LOW Birth Weight(LBW) baby. List the complications of LBW babies. (2+3),9-B,MEDIUM,SE
Enumerate the criteria for a Baby Friendly Hospital initiative.,9-B,MEDIUM,SE
Describe the uSEs of growth charts. ,9-B,LOW,SE
Discuss the probLEms of a pre-school child and enumerate the preventive measures. (3+2),9-B,MEDIUM,SE
Define Infant Mortality Rate (IMR) and  list the cauSEs of the SAme.(2+3),9-B,MEDIUM,SE
Define Neonatal Mortality Rate (NNMR) and enumerate the cauSEs of the SAme. (2+3),9-B,MEDIUM,SE
Define Peri-Natal Mortality Rate (PNMR) and list the cauSEs for the SAme. (2+3),9-B,MEDIUM,SE
Discuss the preventive social measures against Infant Mortality Rate (IMR) (2.5+2.5),9-B,MEDIUM,SE
List the nutritional probLEms of under-5 children and mention the measures taken to cotrol them.(3+2),9-B,HIGH,SE
What is Rooming-In and mention TWO benefits of the SAme.,9-B,MEDIUM,SA
What is Warm Chain in newborn care and list TWO benefits of the SAme.,9-B,MEDIUM,SA
What is   Kangaroo Mother Care   (KMC) approach and list benefits of the SAme.,9-B,MEDIUM,SA
What is meant by At-Risk infants. ,9-B,MEDIUM,SA
Define LOW birt weight baby. ,9-B,MEDIUM,SA
Define Infant Mortality Rate.,9-B,MEDIUM,SA
Define Peri-Natal Mortality Rate.,9-B,MEDIUM,SA
Define still-birth.,9-B,MEDIUM,SA
Define Neonatal Mortality Rate,9-B,MEDIUM,SA
List the health probLEms of pre-school children. Mention the various measures to prevent the SAme.(4+6),9-C,MEDIUM,LE
Who is an AdoLEscent? Mention the probLEms of adoLEscent children and briefly outline the measures to control and prevent them.(2+4+4),9-C,MEDIUM,LE
Mention the objectives and strategies of school health programme. (2+3),9-C,MEDIUM,SE
Define JuveniLE delinquency and list the cauSEs for the SAme (2+3),9-C,LOW,SE
Discuss the probLEms of adoLEscent children.,9-C,LOW,SE
Describe the probLEms of street children and list the measures taken for the SAme. (3+2),9-C,MEDIUM,SE
Describe child placement. Mention the different places availabLE for the SAme. (3+2),9-C,MEDIUM,SE
Describe AdoLEscent reproductive and SExual health(ARSH) programme and list the SErvices under this programme. (3+2),9-C,MEDIUM,SE
List THREE health probLEms of school  children.,9-C,MEDIUM,SA
Define  juveniLE delinquency.,9-C,MEDIUM,SA
List THREE health probLEms of adoLEscent children.,9-C,MEDIUM,SA
List components of AdoLEscent reproductive and SExual health(ARSH) programme.,9-C,MEDIUM,SA
List the components of school health check up programme. ,9-C,HIGH,SA
Enumerate the vaccinations provided to a school child.,9-C,MEDIUM,SA
List the health promotional activities to the school children.,9-C,HIGH,SA
What is geriatrics. Describe the health probLEms of the geriatric population. (2+8),9-D,MEDIUM,LE
List THREE health probLEms of old aged peopLE?,9-D,MEDIUM,SA
List THREE social SEcurity measures of the elderly.,9-D,MEDIUM,SA
Describe the health probLEms of the elderly population. ,9-D,MEDIUM,SE
"35 year maLE from a nucLEar family of four members, with a child of 2 years as theb youngest member reports to the PHC with h/o cough for the past 25days associated with fever. How would you manage the situation as the primary care physician?",5-A,MEDIUM,LE
"A ten months old child has preSEnted with fever, coryza, congested conjunctiva, cough, skin rash and features of malnutrition. How will you manage the caSE as per IMNCI guidelines?",7-C,HIGH,LE
